AMOUNT,APPTXNMOD,AUTH_CODE_AC,BANK_NAME_2H,CARD_TYPE_CT,DATE_TIME_DT,INVOICE_IN,LAST4CARDNO,MRCHNT_ID_MID,PMS_MODULE,PMS_NUMBER,PMS_SYSTEM_DT,RESP_CODE_RC,RETRIEVAL_REF_NUM_RRN,SERVICE_PROVIDER_2H,TERM_ID_TID,TRANSAC_TYPE,ZONE
5,202839977687108188,-,NQRD,QRD,2025-02-11,-,0000,UDN,PWB DELIVERY,9000426183,2025-02-11,S,540823825228,Master,QRD,RECPT,8
871,313551508611017903,-,NQRD,QRD,2025-02-12,-,0000,DDR,PWB BOOKING,1008663185,2025-02-12,S,540922903051,Master,QRD,RECPT,8
1403,832691816348591814,-,NQRD,QRD,2025-02-12,-,0000,PNU,PWB BOOKING,2022289106,2025-02-12,S,540923402533,Master,QRD,RECPT,8
5,981087808832640471,-,NQRD,QRD,2025-02-12,-,0000,SBIB,PWB DELIVERY,9000443011,2025-02-12,S,540923689196,Master,QRD,RECPT,8
3005,365421488579696568,-,NQRD,QRD,2025-02-12,-,0000,BDTS,PWB BOOKING,2022288228,2025-02-12,S,540924977837,Master,QRD,RECPT,8
1054,844181989375204782,-,NQRD,QRD,2025-02-12,-,0000,BHUJ,PWB BOOKING,2022290066,2025-02-12,S,540925406695,Master,QRD,RECPT,8
120,464799635745008398,-,NQRD,QRD,2025-02-12,-,0000,ADI,PWB BOOKING,1008664621,2025-02-12,S,540986633376,Master,QRD,RECPT,8
819,58963644976556943,-,NQRD,QRD,2025-02-12,-,0000,INDB,PWB BOOKING,2022288475,2025-02-12,S,540987802667,Master,QRD,RECPT,8
173,16405185658336760,,NQRD,QRD,2025-02-12,,0000,VAPI,LT BOOKING,3001200863,2025-02-12,S,540988141624,Master,QRD,RECPT,8
112,912394252496553730,-,NQRD,QRD,2025-02-11,-,0000,BDTS,PWB BOOKING,1008660529,2025-02-11,S,559044302247,Master,QRD,RECPT,8
1045,853372069333996737,-,NQRD,QRD,2025-02-05,-,0000,ST,PWB BOOKING,2022235702,2025-02-05,S,559273539956,Master,QRD,RECPT,8
3,413860097507980162,-,NQRD,QRD,2025-02-10,-,0000,BRC,PWB BOOKING,1008657871,2025-02-10,S,623115304287,Master,QRD,RECPT,8
884,695445797254722511,-,NQRD,QRD,2025-02-05,-,0000,RTM,PWB BOOKING,2022234448,2025-02-05,S,643765472167,Master,QRD,RECPT,8
3,812664319133406574,-,NQRD,QRD,2025-02-07,-,0000,UJN,PWB BOOKING,2022254871,2025-02-07,S,644305430629,Master,QRD,RECPT,8
2470,761656500443437996,-,NQRD,QRD,2025-02-10,-,0000,VAPI,PWB BOOKING,2022271560,2025-02-10,S,539088630522,Master,QRD,RECPT,8
815,818223508457465763,-,NQRD,QRD,2025-02-06,-,0000,GIMB,PWB BOOKING,2022240356,2025-02-06,S,539511262303,Master,QRD,RECPT,8
210,476950124691924845,-,NQRD,QRD,2025-02-05,-,0000,ADI,PWB DELIVERY,9000343478,2025-02-05,S,539706148262,Master,QRD,RECPT,8
38,63633932972184368,-,NQRD,QRD,2025-02-05,-,0000,BRC,PWB BOOKING,1008636821,2025-02-05,S,540251750882,Master,QRD,RECPT,8
2014,499582446471638664,-,NQRD,QRD,2025-02-05,-,0000,PNU,PWB BOOKING,2022232245,2025-02-05,S,540252551775,Master,QRD,RECPT,8
839,880528316665447990,-,NQRD,QRD,2025-02-05,-,0000,BRC,PWB BOOKING,1008638904,2025-02-05,S,540253696210,Master,QRD,RECPT,8
288,109451832359657477,-,NQRD,QRD,2025-02-05,-,0000,GIMB,PWB BOOKING,2022235926,2025-02-05,S,540254209897,Master,QRD,RECPT,8
2,24801658025444700,-,NQRD,QRD,2025-02-06,-,0000,BRC,PWB DELIVERY,9000353591,2025-02-06,S,540323028533,Master,QRD,RECPT,8
4,443703824721391841,-,NQRD,QRD,2025-02-06,-,0000,BRC,PWB DELIVERY,9000353586,2025-02-06,S,540323831251,Master,QRD,RECPT,8
20853,107709808326841399,,NQRD,QRD,2025-02-06,,0000,VRL,MR,8000364555,2025-02-06,S,540325849122,-,QRD,RECPT,8
2677,549904660175776167,-,NQRD,QRD,2025-02-07,-,0000,GIMB,PWB BOOKING,2022253768,2025-02-07,S,540440515812,Master,QRD,RECPT,8
79,444306967353643061,-,NQRD,QRD,2025-02-07,-,0000,MSH,PWB BOOKING,1008645295,2025-02-07,S,540440544355,Master,QRD,RECPT,8
192,10557041357905800,-,NQRD,QRD,2025-02-07,-,0000,MMCT,PWB DELIVERY,9000370315,2025-02-07,S,540441690103,Master,QRD,RECPT,8
3,454177960428907851,-,NQRD,QRD,2025-02-07,-,0000,ST,PWB BOOKING,1008647159,2025-02-07,S,540441824952,Master,QRD,RECPT,8
501,753109820154616243,,NQRD,QRD,2025-02-08,,0000,PNU,LT BOOKING,4002156484,2025-02-08,S,540508696306,Master,QRD,RECPT,8
628,46456740661180469,,NQRD,QRD,2025-02-08,,0000,ADI,MR,8000392855,2025-02-08,S,540508974871,-,QRD,RECPT,8
2625,479207580656237453,-,NQRD,QRD,2025-02-08,-,0000,BRC,PWB BOOKING,2022263827,2025-02-08,S,540511779059,Master,QRD,RECPT,8
362,665236334480954454,-,NQRD,QRD,2025-02-08,-,0000,BDTS,PWB BOOKING,1008650665,2025-02-08,S,540512278046,Master,QRD,RECPT,8
32,596350815411384392,-,NQRD,QRD,2025-02-08,-,0000,BL,PWB BOOKING,1008650606,2025-02-08,S,540588289995,Master,QRD,RECPT,8
221,702032701245973371,-,NQRD,QRD,2025-02-08,-,0000,ST,PWB DELIVERY,9000382259,2025-02-08,S,540588774121,Master,QRD,RECPT,8
328,248484743697360821,-,NQRD,QRD,2025-02-08,-,0000,UDN,PWB DELIVERY,9000390620,2025-02-08,S,540590598414,Master,QRD,RECPT,8
150,197512846843194568,-,NQRD,QRD,2025-02-08,-,0000,INDB,PWB BOOKING,2022257273,2025-02-08,S,540591283220,Master,QRD,RECPT,8
29,77168703149839600,-,NQRD,QRD,2025-02-08,-,0000,MMCT,PWB DELIVERY,9000384092,2025-02-08,S,540592041504,Master,QRD,RECPT,8
4704,829189983620856307,-,NQRD,QRD,2025-02-10,-,0000,BHUJ,PWB BOOKING,2022272526,2025-02-10,S,540714160958,Master,QRD,RECPT,8
1951,189322786188277080,-,NQRD,QRD,2025-02-10,-,0000,BRC,PWB BOOKING,2022277098,2025-02-10,S,540714974920,Master,QRD,RECPT,8
2121,66704633533444365,,NQRD,QRD,2025-02-10,,0000,VAPI,LT BOOKING,4002158638,2025-02-10,S,540715243915,Master,QRD,RECPT,8
17,973468107253257868,-,NQRD,QRD,2025-02-10,-,0000,MMCT,PWB DELIVERY,9000418904,2025-02-10,S,540715475329,Master,QRD,RECPT,8
